Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Alopochen aegyptiaca";"Egyptian Goose";Nijlgans;1;birds/alopochen-aegyptiaca/large.jpg;birds/alopochen-aegyptiaca/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tadorna ferruginea";"Ruddy Shelduck";Casarca;1;birds/tadorna-ferruginea/large.jpg;birds/tadorna-ferruginea/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tadorna cana";"South African Shelduck";"Kaapse Casarca";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tadorna tadornoides";"Australian Shelduck";"Australische Bergeend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tadorna variegata";"Paradise Shelduck";Paradijscasarca;1;birds/tadorna-variegata/large.jpg;birds/tadorna-variegata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tadorna tadorna";"Common Shelduck";Bergeend;1;birds/tadorna-tadorna/large.jpg;birds/tadorna-tadorna/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Plectropterus gambensis";"Spur-winged Goose";Spoorwiekgans;1;birds/plectropterus-gambensis/large.jpg;birds/plectropterus-gambensis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tachyeres patachonicus";"Flying Steamer-Duck";"Vliegende Booteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tachyeres pteneres";"Flightless Steamer-Duck";Reuzenbooteend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tachyeres brachypterus";"Falkland Steamer-Duck";Falklandbooteend;0;;
